ORGAO;orgao_no;orgao_sg;nat_jur_orgao_co;nat_jur_orgao_no;orgao_vinc_co;orgao_vinc_no
40806;DEP.DE CENTRAL.SERV.DE INATIVOS E PENS.;DECIP/SGP;1;ADMINISTRACAO DIRETA FEDERAL;17000;MINISTERIO DA ECONOMIA
41000;MINISTERIO DAS COMUNICACOES;M.COMUNIC;1;ADMINISTRACAO DIRETA FEDERAL;41000;MINISTERIO DAS COMUNICACOES
41100;MINISTERIO DAS COMUNICACOES;MCOM;1;ADMINISTRACAO DIRETA FEDERAL;41100;MINISTERIO DAS COMUNICACOES
41231;AGENCIA NACIONAL DE TELECOMUNICACOES;ANATEL;9;AUTARQUIA ESPECIAL;40108;MINISTERIO CIENCIA TEC.INOV.COMUNICACOES
42000;MINISTERIO DO DESENVOLVIMENTO AGRARIO;MDA;1;ADMINISTRACAO DIRETA FEDERAL;42000;MINISTERIO DO DESENVOLVIMENTO AGRARIO
42201;INSTITUTO NAC. DE COLONIZ E REF AGRARIA;INCRA;9;AUTARQUIA ESPECIAL;13000;MINIST.DA AGRICULTURA,PECUARIA E ABAST.
42204;DEPTO. NACIONAL DE OBRAS CONTRA AS SECAS;DNOCS;3;AUTARQUIA FEDERAL;40112;MINISTERIO DO DESENVOLVIMENTO REGIONAL
42207;INSTITUTO BRASILEIRO DE MUSEUS;IBRAM;3;AUTARQUIA FEDERAL;54000;MINISTERIO DO TURISMO
44205;AGENCIA NACIONAL DE AGUAS;ANA;9;AUTARQUIA ESPECIAL;40111;MINISTERIO DO MEIO AMBIENTE
44206;INSTITUTO DE PESQ. JARDIM BOTANICO DO RJ;JBRJ;3;AUTARQUIA FEDERAL;40111;MINISTERIO DO MEIO AMBIENTE
44207;INSTITUTO CHICO MENDES CONSERV.BIODIVER.;ICMBIO;3;AUTARQUIA FEDERAL;40111;MINISTERIO DO MEIO AMBIENTE
45203;COMISSAO DE VALORES MOBILIARIOS;CVM;9;AUTARQUIA ESPECIAL;17000;MINISTERIO DA ECONOMIA
45205;FUND. INST. BRASIL. GEOG. E ESTATISTICA;IBGE;4;FUNDACAO FEDERAL;17000;MINISTERIO DA ECONOMIA
45206;INSTITUTO DE PESQUISA ECONOMICA APLICADA;IPEA;4;FUNDACAO FEDERAL;17000;MINISTERIO DA ECONOMIA
45208;SUPERINTENDENCIA DE SEGUROS PRIVADOS;SUSEP;9;AUTARQUIA ESPECIAL;17000;MINISTERIO DA ECONOMIA
45282;BANCO NAC. DE DESENV. ECONOMICO E SOCIAL;BNDES;5;EMPRESA PUBLICA;17000;MINISTERIO DA ECONOMIA
45283;INSTITUTO DE RESSEGUROS DO BRASIL;IRB;6;SOCIEDADE ECONOMIA  MISTA;45283;INSTITUTO DE RESSEGUROS DO BRASIL
49000;MINISTERIO DA INFRAESTRUTURA;MINFRA;1;ADMINISTRACAO DIRETA FEDERAL;49000;MINISTERIO DA INFRAESTRUTURA
49280;EMPRESA BRAS. DE CORREIOS E TELEGRAFOS;ECT;5;EMPRESA PUBLICA;40108;MINISTERIO CIENCIA TEC.INOV.COMUNICACOES
49300;VALEC ENG.CONSTRUCOES E FERROVIAS S/A;VALEC;5;EMPRESA PUBLICA;49000;MINISTERIO DA INFRAESTRUTURA
49901;FUNDO DA MARINHA MERCANTE;FMM;3;AUTARQUIA FEDERAL;49901;FUNDO DA MARINHA MERCANTE
51000;AUTORIDADE.DE GOVER.DO LEGADO OLIMPICO;AGLO;3;AUTARQUIA FEDERAL;55000;MINISTERIO DA CIDADANIA
52201;AGENCIA NACIONAL DE AVIACAO CIVIL;ANAC;9;AUTARQUIA ESPECIAL;49000;MINISTERIO DA INFRAESTRUTURA
52233;AMAZONIA AZUL TECNOLOGIAS DE DEFESA SA;AMAZUL;5;EMPRESA PUBLICA;40105;MINISTERIO DA DEFESA
53202;SUPERINTENDENCIA DO DESENV. DA AMAZONIA;SUDAM;3;AUTARQUIA FEDERAL;40112;MINISTERIO DO DESENVOLVIMENTO REGIONAL
53203;SUPERINTENDENCIA DO DESENV. DO NORDESTE;SUDENE;3;AUTARQUIA FEDERAL;40112;MINISTERIO DO DESENVOLVIMENTO REGIONAL
53297;SUP.DE DESENVOLVIMENTO DO CENTRO OESTE;SUDECO;3;AUTARQUIA FEDERAL;40112;MINISTERIO DO DESENVOLVIMENTO REGIONAL
54000;MINISTERIO DO TURISMO;MTUR;1;ADMINISTRACAO DIRETA FEDERAL;54000;MINISTERIO DO TURISMO
55000;MINISTERIO DA CIDADANIA;MC;1;ADMINISTRACAO DIRETA FEDERAL;55000;MINISTERIO DA CIDADANIA
56000;MINISTERIO DAS CIDADES;MCID;1;ADMINISTRACAO DIRETA FEDERAL;56000;MINISTERIO DAS CIDADES
57201;FUND.JORGE DUPRAT FIG. SEG. MED.TRABALHO;F.CENTRO;4;FUNDACAO FEDERAL;17000;MINISTERIO DA ECONOMIA
57202;INSTITUTO NACIONAL DE SEGURO SOCIAL;INSS;3;AUTARQUIA FEDERAL;17000;MINISTERIO DA ECONOMIA
57203;EMPR.DE PROCESS.DE DADOS DA PREV.SOCIAL;DATAPREV;5;EMPRESA PUBLICA;23000;MINISTERIO DA PREVIDENCIA SOCIAL
59000;CONTROLADORIA-GERAL DA UNIAO;CGU;1;ADMINISTRACAO DIRETA FEDERAL;59000;CONTROLADORIA-GERAL DA UNIAO
70000;COMANDO DA MARINHA;CM;1;ADMINISTRACAO DIRETA FEDERAL;40105;MINISTERIO DA DEFESA
77000;FUND PREV COMPL SERV PUBL FED EXECUTIVO;FUNPRESP;20;FUND.PUBLICA DIREITO PRIVADO;20113;MINISTERIO DO PLANEJ. DESENV. E GESTAO
80208;EMPRESA DE PORTOS DO BRASIL S/A;PORTOBRAS;5;EMPRESA PUBLICA;80208;EMPRESA DE PORTOS DO BRASIL S/A
80210;EMPRESA BRAS.DE ASSISTENCIA TEC.E EXT.RU;EMBRATER;5;EMPRESA PUBLICA;80210;EMPRESA BRAS.DE ASSISTENCIA TEC.E EXT.RU
81000;MIN. DA MULHER, FAMILIA E DIR. HUMANOS;MMFDH;1;ADMINISTRACAO DIRETA FEDERAL;81000;MIN. DA MULHER, FAMILIA E DIR. HUMANOS
90000;TRIBUNAL DE CONTAS DA UNIAO;TCU;1;ADMINISTRACAO DIRETA FEDERAL;90000;TRIBUNAL DE CONTAS DA UNIAO
90100;MINISTERIO PUBLICO FEDERAL;MPF;1;ADMINISTRACAO DIRETA FEDERAL;90100;MINISTERIO PUBLICO FEDERAL
90150;MINISTERIO PUBLICO DA UNIAO;MPU;1;ADMINISTRACAO DIRETA FEDERAL;90150;MINISTERIO PUBLICO DA UNIAO
90200;MINISTERIO PUBLICO DO TRABALHO;MPT;1;ADMINISTRACAO DIRETA FEDERAL;90200;MINISTERIO PUBLICO DO TRABALHO
90300;MINISTERIO PUBLICO MILITAR;MPM;1;ADMINISTRACAO DIRETA FEDERAL;90300;MINISTERIO PUBLICO MILITAR
90400;MINIST. PUBLICO DO DF E TERRITORIOS;MPDFT;1;ADMINISTRACAO DIRETA FEDERAL;90400;MINIST. PUBLICO DO DF E TERRITORIOS
91081;ELETROBRAS - HOLDING;ELETROBRAS;6;SOCIEDADE ECONOMIA  MISTA;32000;MINISTERIO DE MINAS E ENERGIA
91082;TELEBRAS - HOLDING;TELEBRAS;6;SOCIEDADE ECONOMIA  MISTA;40108;MINISTERIO CIENCIA TEC.INOV.COMUNICACOES
91083;CVRD - HOLDING;CVRD-HOL;6;SOCIEDADE ECONOMIA  MISTA;91083;CVRD - HOLDING
