ORGAO;orgao_no;orgao_sg;nat_jur_orgao_co;nat_jur_orgao_no;orgao_vinc_co;orgao_vinc_no
101;SUPERIOR TRIBUNAL DE JUSTICA;STJ;1;ADMINISTRACAO DIRETA FEDERAL;101;SUPERIOR TRIBUNAL DE JUSTICA
102;FUNDACAO ASSEFAZ;ASSEFAZ;4;FUNDACAO FEDERAL;102;FUNDACAO ASSEFAZ
153;EMPRESA BRASILEIRA DE TELECOMUNICACOES;EMBRATEL;5;EMPRESA PUBLICA;153;EMPRESA BRASILEIRA DE TELECOMUNICACOES
157;GOVERNO DO ESTADO DO MARANHAO;ESTADO/MA;10;SERVICO PUBLICO ESTADUAL;157;GOVERNO DO ESTADO DO MARANHAO
159;PREFEITURA MUNICIPAL DE TRES PONTAS - MG;PMTP-MG;7;SERVICO PUBLICO MUNICIPAL;159;PREFEITURA MUNICIPAL DE TRES PONTAS - MG
160;ASSEMBLEIA LEGISLATIVA - MG;AL-MG;10;SERVICO PUBLICO ESTADUAL;160;ASSEMBLEIA LEGISLATIVA - MG
161;PREFEITURA MUNICIPAL DE BLUMENAU - SC;PREF.BLUME;7;SERVICO PUBLICO MUNICIPAL;161;PREFEITURA MUNICIPAL DE BLUMENAU - SC
162;TRIBUNAL REGIONAL ELEITORAL - BA;TRE-BA;1;ADMINISTRACAO DIRETA FEDERAL;162;TRIBUNAL REGIONAL ELEITORAL - BA
163;TRIBUNAL REGIONAL ELEITORAL - MT;TRE-MT;1;ADMINISTRACAO DIRETA FEDERAL;163;TRIBUNAL REGIONAL ELEITORAL - MT
164;TRIBUNAL REGIONAL ELEITORAL;TRE;1;ADMINISTRACAO DIRETA FEDERAL;164;TRIBUNAL REGIONAL ELEITORAL
165;TRIBUNAL REGIONAL ELEITORAL - RS;TRE-RS;1;ADMINISTRACAO DIRETA FEDERAL;165;TRIBUNAL REGIONAL ELEITORAL - RS
166;TRIBUNAL REGIONAL ELEITORAL - SP;TRE-SP;1;ADMINISTRACAO DIRETA FEDERAL;166;TRIBUNAL REGIONAL ELEITORAL - SP
167;TRIBUNAL REGIONAL ELEITORAL - RO;TRE-RO;1;ADMINISTRACAO DIRETA FEDERAL;167;TRIBUNAL REGIONAL ELEITORAL - RO
168;TRIBUNAL REGIONAL ELEITORAL - SC;TRE-SC;1;ADMINISTRACAO DIRETA FEDERAL;168;TRIBUNAL REGIONAL ELEITORAL - SC
4000;TRIBUNAL SUPERIOR DO TRABALHO;TST;1;ADMINISTRACAO DIRETA FEDERAL;4000;TRIBUNAL SUPERIOR DO TRABALHO
10000;SUPREMO TRIBUNAL FEDERAL;STF;1;ADMINISTRACAO DIRETA FEDERAL;10000;SUPREMO TRIBUNAL FEDERAL
12001;JUSTICA FEDERAL SC JUDI EST. DE SERGIPE;JUDFEDSE;10;SERVICO PUBLICO ESTADUAL;12001;JUSTICA FEDERAL SC JUDI EST. DE SERGIPE
12002;JUSTICA FEDERAL - AP;JF/AP;1;ADMINISTRACAO DIRETA FEDERAL;12002;JUSTICA FEDERAL - AP
13000;MINIST.DA AGRICULTURA,PECUARIA E ABAST.;MAPA;1;ADMINISTRACAO DIRETA FEDERAL;13000;MINIST.DA AGRICULTURA,PECUARIA E ABAST.
15000;MINISTERIO DA EDUCACAO;MEC;1;ADMINISTRACAO DIRETA FEDERAL;15000;MINISTERIO DA EDUCACAO
16000;COMANDO DO EXERCITO;C.EX;1;ADMINISTRACAO DIRETA FEDERAL;40105;MINISTERIO DA DEFESA
16100;FUNDACAO OSORIO;F.OSORIO;4;FUNDACAO FEDERAL;40105;MINISTERIO DA DEFESA
17000;MINISTERIO DA ECONOMIA;ME;1;ADMINISTRACAO DIRETA FEDERAL;17000;MINISTERIO DA ECONOMIA
17100;CONSELHO NACIONAL DE JUSTICA;CNJ;15;PODER JUDICIARIO FEDERAL;17100;CONSELHO NACIONAL DE JUSTICA
17200;MINISTERIO DOS POVOS INDIGENAS;MPI;1;ADMINISTRACAO DIRETA FEDERAL;20101;PRESIDENCIA DA REPUBLICA
20000;MINIST. DA JUSTICA E SEGURANCA PUBLICA;MJ;1;ADMINISTRACAO DIRETA FEDERAL;20000;MINIST. DA JUSTICA E SEGURANCA PUBLICA
20101;PRESIDENCIA DA REPUBLICA;PR;1;ADMINISTRACAO DIRETA FEDERAL;20101;PRESIDENCIA DA REPUBLICA
20102;VICE-PRESIDENCIA DA REPUBLICA;VPR;1;ADMINISTRACAO DIRETA FEDERAL;20101;PRESIDENCIA DA REPUBLICA
20103;SECRETARIA DA ADMINISTRACAO FEDERAL;SAF/PR;1;ADMINISTRACAO DIRETA FEDERAL;20103;SECRETARIA DA ADMINISTRACAO FEDERAL
20104;SECRETARIA DE ASSUNTOS ESTRATEGICOS / PR;SAE;1;ADMINISTRACAO DIRETA FEDERAL;20104;SECRETARIA DE ASSUNTOS ESTRATEGICOS / PR
20106;CONSULTORIA GERAL DA REPUBLICA;CGR/PR;1;ADMINISTRACAO DIRETA FEDERAL;20106;CONSULTORIA GERAL DA REPUBLICA
20108;SECRETARIA DA CIENCIA E TECNOLOGIA;SCT;1;ADMINISTRACAO DIRETA FEDERAL;20108;SECRETARIA DA CIENCIA E TECNOLOGIA
20109;SECRETARIA DO DESENVOLVIMENTO REGIONAL;SEC.DES.RE;1;ADMINISTRACAO DIRETA FEDERAL;20109;SECRETARIA DO DESENVOLVIMENTO REGIONAL
20111;SECRETARIA DO MEIO AMBIENTE;SEC.MEIO-A;1;ADMINISTRACAO DIRETA FEDERAL;20111;SECRETARIA DO MEIO AMBIENTE
20113;MINISTERIO DO PLANEJ. DESENV. E GESTAO;MP;1;ADMINISTRACAO DIRETA FEDERAL;20113;MINISTERIO DO PLANEJ. DESENV. E GESTAO
20114;AGENCIA BRASILEIRA DE INTELIGENCIA;ABIN;1;ADMINISTRACAO DIRETA FEDERAL;20101;PRESIDENCIA DA REPUBLICA
20115;DEPARTAMENTO DE POLICIA FEDERAL;DPF;1;ADMINISTRACAO DIRETA FEDERAL;20000;MINIST. DA JUSTICA E SEGURANCA PUBLICA
20224;AGENCIA NACIONAL DO CINEMA;ANCINE;9;AUTARQUIA ESPECIAL;54000;MINISTERIO DO TURISMO
20302;NUCLEBRAS EQUIPAMENTOS PESADOS;NUCLEP;5;EMPRESA PUBLICA;32000;MINISTERIO DE MINAS E ENERGIA
20304;INDUSTRIAS NUCLEARES DO BRASIL;INB;5;EMPRESA PUBLICA;32000;MINISTERIO DE MINAS E ENERGIA
20404;BIBLIOTECA NACIONAL;BIBLIOTECA;4;FUNDACAO FEDERAL;20404;BIBLIOTECA NACIONAL
20410;FUNDACAO NACIONAL PRO-LEITURA;PRO-LEITUR;4;FUNDACAO FEDERAL;20410;FUNDACAO NACIONAL PRO-LEITURA
20411;INSTITUTO BRASILEIRO DO PATRIMONIO CULTU;IBPC;3;AUTARQUIA FEDERAL;20411;INSTITUTO BRASILEIRO DO PATRIMONIO CULTU
20415;EMPRESA BRASIL DE COMUNICACAO;EBC;5;EMPRESA PUBLICA;20101;PRESIDENCIA DA REPUBLICA
20502;FINANCIADORA DE ESTUDOS E PROJETOS;FINEP;5;EMPRESA PUBLICA;40108;MINISTERIO CIENCIA TEC.INOV.COMUNICACOES
20605;COMPANHIA DE DESENVOLV. DE BARCAREMA;CODEBAR;5;EMPRESA PUBLICA;40111;MINISTERIO DO MEIO AMBIENTE
20924;FUNDO NACIONAL DE DESENVOLVIMENTO;FND;3;AUTARQUIA FEDERAL;20924;FUNDO NACIONAL DE DESENVOLVIMENTO
21000;COMANDO DA AERONAUTICA;C.AER;1;ADMINISTRACAO DIRETA FEDERAL;40105;MINISTERIO DA DEFESA
21201;CAIXA DE FINANCIAMENTO IMOB.AERONAUTICA;CFIA;3;AUTARQUIA FEDERAL;40105;MINISTERIO DA DEFESA
21300;AGENCIA ESPACIAL BRASILEIRA;AEB;3;AUTARQUIA FEDERAL;40108;MINISTERIO CIENCIA TEC.INOV.COMUNICACOES
22200;COMPANHIA NACIONAL DE ABASTECIMENTO;CONAB;5;EMPRESA PUBLICA;13000;MINIST.DA AGRICULTURA,PECUARIA E ABAST.
22202;EMPRESA BRASILEIRA DE PESQ. AGROPECUARIA;EMBRAPA;5;EMPRESA PUBLICA;13000;MINIST.DA AGRICULTURA,PECUARIA E ABAST.
22203;COMPANHIA DESENV. DO VALE SAO FRANCISCO;CODEVASF;5;EMPRESA PUBLICA;40112;MINISTERIO DO DESENVOLVIMENTO REGIONAL
23000;MINISTERIO DA PREVIDENCIA SOCIAL;MPS;1;ADMINISTRACAO DIRETA FEDERAL;23000;MINISTERIO DA PREVIDENCIA SOCIAL
23203;FUNDACAO PROJETO RONDON;F.P.RONDON;4;FUNDACAO FEDERAL;23203;FUNDACAO PROJETO RONDON
23804;FUNDO DE PREVIDENCIA E ASSISTENCIA SOCIA;FPAS;3;AUTARQUIA FEDERAL;23804;FUNDO DE PREVIDENCIA E ASSISTENCIA SOCIA
23902;FUNDO DE CUSTEIO DE PROGRAMAS DE HAB. PO;FEHAP;3;AUTARQUIA FEDERAL;23902;FUNDO DE CUSTEIO DE PROGRAMAS DE HAB. PO
24100;TELEBRAS - TELECOM. BRASILEIRAS S.A.;TELEBRAS;6;SOCIEDADE ECONOMIA  MISTA;40108;MINISTERIO CIENCIA TEC.INOV.COMUNICACOES
24203;FUNDACAO NACIONAL DE ARTES;FUNARTE;4;FUNDACAO FEDERAL;54000;MINISTERIO DO TURISMO
24204;INSTITUTO DO PATR.HIST.E ART. NACIONAL;IPHAN;3;AUTARQUIA FEDERAL;54000;MINISTERIO DO TURISMO
24205;FUNDACAO BIBLIOTECA NACIONAL;FBN;4;FUNDACAO FEDERAL;54000;MINISTERIO DO TURISMO
24209;CENTRO NAC.TECNO.ELETRONICA AVANCADA S.A;CEITEC;5;EMPRESA PUBLICA;40108;MINISTERIO CIENCIA TEC.INOV.COMUNICACOES
25000;MINISTERIO DA SAUDE;MS;1;ADMINISTRACAO DIRETA FEDERAL;25000;MINISTERIO DA SAUDE
25201;BANCO CENTRAL DO BRASIL;BACEN;3;AUTARQUIA FEDERAL;20101;PRESIDENCIA DA REPUBLICA
25202;CONS. DE CONTROLE DE ATIV. FINANCEIRAS;COAF;1;ADMINISTRACAO DIRETA FEDERAL;17000;MINISTERIO DA ECONOMIA
25207;SERVICO FED. DE PROCESSAMENTO DE DADOS;SERPRO;5;EMPRESA PUBLICA;17000;MINISTERIO DA ECONOMIA
25211;CASA DA MOEDA DO BRASIL;CMB;5;EMPRESA PUBLICA;17000;MINISTERIO DA ECONOMIA
25220;CAIXA ECONOMICA FEDERAL;CEF;5;EMPRESA PUBLICA;25220;CAIXA ECONOMICA FEDERAL
25281;BANCO DO BRASIL S/A;BB;6;SOCIEDADE ECONOMIA  MISTA;25281;BANCO DO BRASIL S/A
25282;BANCO DO NORDESTE DO BRASIL;BNB;6;SOCIEDADE ECONOMIA  MISTA;17000;MINISTERIO DA ECONOMIA
25823;BANCO DO ESTADO DE GOIAS/SA;BEG/SA;3;AUTARQUIA FEDERAL;25823;BANCO DO ESTADO DE GOIAS/SA
25901;FUNDO DE COMPENSACAO E VARIACOES SALARIA;FCVS;3;AUTARQUIA FEDERAL;25901;FUNDO DE COMPENSACAO E VARIACOES SALARIA
25902;FUNDO DE INVESTIMENTO DO NORDESTE;FINOR;3;AUTARQUIA FEDERAL;25902;FUNDO DE INVESTIMENTO DO NORDESTE
25903;FUNDO DE INVESTIMENTO DA AMAZONIA;FINAM;3;AUTARQUIA FEDERAL;25903;FUNDO DE INVESTIMENTO DA AMAZONIA
25904;FUNDO DE ESTABILIDADE DO SEGURO RURAL;FESR;3;AUTARQUIA FEDERAL;25904;FUNDO DE ESTABILIDADE DO SEGURO RURAL
25905;FUNDO DE APOIO AO DESENVOLVIMENTO SOCIAL;FADS;3;AUTARQUIA FEDERAL;25905;FUNDO DE APOIO AO DESENVOLVIMENTO SOCIAL
26000;MINISTERIO DO TRABALHO E EMPREGO;MTB;1;ADMINISTRACAO DIRETA FEDERAL;26000;MINISTERIO DO TRABALHO E EMPREGO
26104;INSTITUTO NACIONAL DE EDUCACAO DE SURDOS;INES;3;AUTARQUIA FEDERAL;15000;MINISTERIO DA EDUCACAO
26105;INSTITUTO BENJAMIN CONSTANT;I.B.CONST;3;AUTARQUIA FEDERAL;15000;MINISTERIO DA EDUCACAO
26106;FUNDO NACIONAL DE DESENVOLV. DA EDUCACAO;FNDE;3;AUTARQUIA FEDERAL;15000;MINISTERIO DA EDUCACAO
26107;INST.NACIONAL DE EST.E PESQ.EDUCACIONAIS;INEP;3;AUTARQUIA FEDERAL;15000;MINISTERIO DA EDUCACAO
26201;COLEGIO PEDRO II;C.PEDROII;3;AUTARQUIA FEDERAL;15000;MINISTERIO DA EDUCACAO
26230;FUND.UNIV.FED.DO VALE DO SAO FRANCISCO;UNIVASF;4;FUNDACAO FEDERAL;15000;MINISTERIO DA EDUCACAO
26231;UNIVERSIDADE FEDERAL DE ALAGOAS;UFAL;3;AUTARQUIA FEDERAL;15000;MINISTERIO DA EDUCACAO
26232;UNIVERSIDADE FEDERAL DA BAHIA;UFBA;3;AUTARQUIA FEDERAL;15000;MINISTERIO DA EDUCACAO
26233;UNIVERSIDADE FEDERAL DO CEARA;UFCE;3;AUTARQUIA FEDERAL;15000;MINISTERIO DA EDUCACAO
26234;UNIVERSIDADE FEDERAL DO ESPIRITO SANTO;UFES;3;AUTARQUIA FEDERAL;15000;MINISTERIO DA EDUCACAO
26235;UNIVERSIDADE FEDERAL DE GOIAS;UFGO;3;AUTARQUIA FEDERAL;15000;MINISTERIO DA EDUCACAO
26236;UNIVERSIDADE FEDERAL FLUMINENSE;UFF;3;AUTARQUIA FEDERAL;15000;MINISTERIO DA EDUCACAO
26237;UNIVERSIDADE FEDERAL DE JUIZ DE FORA;UFJF;3;AUTARQUIA FEDERAL;15000;MINISTERIO DA EDUCACAO
26238;UNIVERSIDADE FEDERAL DE MINAS GERAIS;UFMG;3;AUTARQUIA FEDERAL;15000;MINISTERIO DA EDUCACAO
26239;UNIVERSIDADE FEDERAL DO PARA;UFPA;3;AUTARQUIA FEDERAL;15000;MINISTERIO DA EDUCACAO
26240;UNIVERSIDADE FEDERAL DA PARAIBA;UFPB;3;AUTARQUIA FEDERAL;15000;MINISTERIO DA EDUCACAO
26241;UNIVERSIDADE FEDERAL DO PARANA;UFPR;3;AUTARQUIA FEDERAL;15000;MINISTERIO DA EDUCACAO
26242;UNIVERSIDADE FEDERAL DE PERNAMBUCO;UFPE;3;AUTARQUIA FEDERAL;15000;MINISTERIO DA EDUCACAO
26243;UNIVERSIDADE FED. DO RIO GRANDE DO NORTE;UFRN;3;AUTARQUIA FEDERAL;15000;MINISTERIO DA EDUCACAO
26244;UNIVERSIDADE FED. DO RIO GRANDE DO SUL;UFRGS/RS;3;AUTARQUIA FEDERAL;15000;MINISTERIO DA EDUCACAO
26245;UNIVERSIDADE FEDERAL DO RIO DE JANEIRO;UFRJ;3;AUTARQUIA FEDERAL;15000;MINISTERIO DA EDUCACAO
26246;UNIVERSIDADE FEDERAL DE SANTA CATARINA;UFSC;3;AUTARQUIA FEDERAL;15000;MINISTERIO DA EDUCACAO
26247;UNIVERSIDADE FEDERAL DE SANTA MARIA;UFSM/RS;3;AUTARQUIA FEDERAL;15000;MINISTERIO DA EDUCACAO
26248;UNIVERSIDADE FEDERAL RURAL DE PERNAMBUCO;UFRPE;3;AUTARQUIA FEDERAL;15000;MINISTERIO DA EDUCACAO
26249;UNIV. FEDERAL RURAL DO RIO DE JANEIRO;UFRRJ;3;AUTARQUIA FEDERAL;15000;MINISTERIO DA EDUCACAO
26250;UNIVERSIDADE FEDERAL DE RORAIMA;UFRR;4;FUNDACAO FEDERAL;15000;MINISTERIO DA EDUCACAO
26251;FUNDACAO UNIVERSIDADE FED. DO TOCANTINS;FUFT;4;FUNDACAO FEDERAL;15000;MINISTERIO DA EDUCACAO
26252;UNIVERSIDADE FEDERAL DE CAMPINA GRANDE;UFCG;3;AUTARQUIA FEDERAL;15000;MINISTERIO DA EDUCACAO
26253;UNIVERSIDADE FEDERAL RURAL DA AMAZONIA;UFRA;3;AUTARQUIA FEDERAL;15000;MINISTERIO DA EDUCACAO
26254;UNIVERSIDADE FED.DO TRIANGULO MINEIRO;UFTM;3;AUTARQUIA FEDERAL;15000;MINISTERIO DA EDUCACAO
26255;UNI.FED.VALES DO JEQUITINHONHA E MUCURI;UFVJM;3;AUTARQUIA FEDERAL;15000;MINISTERIO DA EDUCACAO
26256;CENTRO FED.EDUC.TECNOL.CELSO S. FONSECA;CEFET/RJ;3;AUTARQUIA FEDERAL;15000;MINISTERIO DA EDUCACAO
26257;CENTRO FED.DE EDUC.TECNOL.MINAS GERAIS;CEFET/MG;3;AUTARQUIA FEDERAL;15000;MINISTERIO DA EDUCACAO
26258;UNIVERS. TECNOLOGICA FEDERAL DO PARANA;UTFPR;3;AUTARQUIA FEDERAL;15000;MINISTERIO DA EDUCACAO
26260;UNIVERSIDADE FEDERAL DE ALFENAS;UNIFAL-MG;3;AUTARQUIA FEDERAL;15000;MINISTERIO DA EDUCACAO
26261;UNIVERSIDADE FEDERAL DE ITAJUBA;UNIFEI;3;AUTARQUIA FEDERAL;15000;MINISTERIO DA EDUCACAO
26262;UNIVERSIDADE FEDERAL DE SAO PAULO;UNIFESP;3;AUTARQUIA FEDERAL;15000;MINISTERIO DA EDUCACAO
26263;UNIVERSIDADE FEDERAL DE LAVRAS;UFLA;3;AUTARQUIA FEDERAL;15000;MINISTERIO DA EDUCACAO
26264;UNIVERSIDADE FED. RURAL DO SEMI-ARIDO;UFERSA-RN;3;AUTARQUIA FEDERAL;15000;MINISTERIO DA EDUCACAO
26266;FUNDACAO UNIVERSIDADE FEDERAL DO PAMPA;UNIPAMPA;4;FUNDACAO FEDERAL;15000;MINISTERIO DA EDUCACAO
26267;UNIV.FED. DA INTEGRACAO LATINO-AMERICANA;UNILA;3;AUTARQUIA FEDERAL;15000;MINISTERIO DA EDUCACAO
26268;FUND. UNIVERSIDADE FEDERAL DE RONDONIA;UNIR;4;FUNDACAO FEDERAL;15000;MINISTERIO DA EDUCACAO
26269;UNIVERSIDADE DO RIO DE JANEIRO;UNIRIO;4;FUNDACAO FEDERAL;15000;MINISTERIO DA EDUCACAO
26270;FUNDACAO UNIVERSIDADE DO AMAZONAS;FUAM;4;FUNDACAO FEDERAL;15000;MINISTERIO DA EDUCACAO
26271;FUNDACAO UNIVERSIDADE DE BRASILIA;UNB;4;FUNDACAO FEDERAL;15000;MINISTERIO DA EDUCACAO
26272;FUNDACAO UNIVERSIDADE DO MARANHAO;UFMA;4;FUNDACAO FEDERAL;15000;MINISTERIO DA EDUCACAO
26273;UNIVERSIDADE FEDERAL DO RIO GRANDE;FURG;4;FUNDACAO FEDERAL;15000;MINISTERIO DA EDUCACAO
26274;FUNDACAO UNIV. FEDERAL DE UBERLANDIA;UFU;4;FUNDACAO FEDERAL;15000;MINISTERIO DA EDUCACAO
26275;UNIVERSIDADE FEDERAL DO ACRE;UFAC;3;AUTARQUIA FEDERAL;15000;MINISTERIO DA EDUCACAO
26276;UNIVERSIDADE FEDERAL DE MATO GROSSO;UFMT;4;FUNDACAO FEDERAL;15000;MINISTERIO DA EDUCACAO
26277;FUNDACAO UNIV. FEDERAL DE OURO PRETO;FUFOP;4;FUNDACAO FEDERAL;15000;MINISTERIO DA EDUCACAO
26278;FUNDACAO UNIVERSIDADE FEDERAL DE PELOTAS;FUFPEL;4;FUNDACAO FEDERAL;15000;MINISTERIO DA EDUCACAO
26279;UNIVERSIDADE FEDERAL DO PIAUI;UFPI;4;FUNDACAO FEDERAL;15000;MINISTERIO DA EDUCACAO
26280;UNIVERSIDADE FEDERAL DE SAO CARLOS;FUFSCAR;4;FUNDACAO FEDERAL;15000;MINISTERIO DA EDUCACAO
26281;FUNDACAO UNIVERSIDADE FEDERAL DE SERGIPE;FUFS;4;FUNDACAO FEDERAL;15000;MINISTERIO DA EDUCACAO
26282;UNIVERSIDADE FEDERAL DE VICOSA;UFV;4;FUNDACAO FEDERAL;15000;MINISTERIO DA EDUCACAO
26283;UNIV. FEDERAL DE MATO GROSSO DO SUL;UFMS;4;FUNDACAO FEDERAL;15000;MINISTERIO DA EDUCACAO
26284;FUND.UNIV.FED.CIENC.SAUDE D PORTO ALEGRE;UFCSPA;4;FUNDACAO FEDERAL;15000;MINISTERIO DA EDUCACAO
26285;FUND. UNIVERSIDADE DE SAO JOAO DEL REI;FUNREI;4;FUNDACAO FEDERAL;15000;MINISTERIO DA EDUCACAO
26286;FUNDACAO UNVERSIDADE FEDERAL DO AMAPA;UNIFAP;4;FUNDACAO FEDERAL;15000;MINISTERIO DA EDUCACAO
26292;FUNDACAO JOAQUIM NABUCO;FJN;4;FUNDACAO FEDERAL;15000;MINISTERIO DA EDUCACAO
26298;FUND COORD APERF PESSOAL NIVEL SUPERIOR;CAPES;4;FUNDACAO FEDERAL;15000;MINISTERIO DA EDUCACAO
26350;FUND. UNIV FEDERAL DA GRANDE DOURADOS;UFGD;4;FUNDACAO FEDERAL;15000;MINISTERIO DA EDUCACAO
26351;UNIV. FEDERAL DO RECONCAVO DA BAHIA;UFRB;3;AUTARQUIA FEDERAL;15000;MINISTERIO DA EDUCACAO
26352;FUNDACAO UNIVERSIDADE FEDERAL DO ABC;UFABC;4;FUNDACAO FEDERAL;15000;MINISTERIO DA EDUCACAO
26401;INSTITUTO FEDERAL DO ACRE;IFAC;3;AUTARQUIA FEDERAL;15000;MINISTERIO DA EDUCACAO
26402;INSTITUTO FEDERAL DE ALAGOAS;IFAL;3;AUTARQUIA FEDERAL;15000;MINISTERIO DA EDUCACAO
26403;INSTITUTO FEDERAL DO AMAZONAS;IFAM;3;AUTARQUIA FEDERAL;15000;MINISTERIO DA EDUCACAO
26404;INSTITUTO FEDERAL BAIANO;IFBAIANO;3;AUTARQUIA FEDERAL;15000;MINISTERIO DA EDUCACAO
26405;INSTITUTO FEDERAL DO CEARA;IFCE;3;AUTARQUIA FEDERAL;15000;MINISTERIO DA EDUCACAO
26406;INSTITUTO FEDERAL DO ESPIRITO SANTO;IFES;3;AUTARQUIA FEDERAL;15000;MINISTERIO DA EDUCACAO
26407;INSTITUTO FEDERAL GOIANO;IFGOIANO;3;AUTARQUIA FEDERAL;15000;MINISTERIO DA EDUCACAO
26408;INSTITUTO FEDERAL DO MARANHAO;IFMA;3;AUTARQUIA FEDERAL;15000;MINISTERIO DA EDUCACAO
26409;INSTITUTO FEDERAL DE MINAS GERAIS;IFMG;3;AUTARQUIA FEDERAL;15000;MINISTERIO DA EDUCACAO
26410;INSTITUTO FED. DO NORTE DE MINAS GERAIS;IFNORTEMG;3;AUTARQUIA FEDERAL;15000;MINISTERIO DA EDUCACAO
26411;INSTITUTO FED.DO SUDESTE DE MINAS GERAIS;IFSUDMG;3;AUTARQUIA FEDERAL;15000;MINISTERIO DA EDUCACAO
26412;INSTITUTO FEDERAL DO SUL DE MINAS GERAIS;IFSULMG;3;AUTARQUIA FEDERAL;15000;MINISTERIO DA EDUCACAO
26413;INSTITUTO FEDERAL DO TRIANGULO MINEIRO;IFTRIANMG;3;AUTARQUIA FEDERAL;15000;MINISTERIO DA EDUCACAO
26414;INSTITUTO FEDERAL DE MATO GROSSO;IFMT;3;AUTARQUIA FEDERAL;15000;MINISTERIO DA EDUCACAO
26415;INSTITUTO FEDERAL DE MATO GROSSO DO SUL;IFMS;3;AUTARQUIA FEDERAL;15000;MINISTERIO DA EDUCACAO
26416;INSTITUTO FEDERAL DO PARA;IFPA;3;AUTARQUIA FEDERAL;15000;MINISTERIO DA EDUCACAO
26417;INSTITUTO FEDERAL DA PARAIBA;IFPB;3;AUTARQUIA FEDERAL;15000;MINISTERIO DA EDUCACAO
26418;INSTITUTO FEDERAL DE PERNAMBUCO;IFPE;3;AUTARQUIA FEDERAL;15000;MINISTERIO DA EDUCACAO
26419;INSTITUTO FEDERAL DO RIO GRANDE DO SUL;IFRS;3;AUTARQUIA FEDERAL;15000;MINISTERIO DA EDUCACAO
26420;INSTITUTO FEDERAL FARROUPILHA;IFFARROUP;3;AUTARQUIA FEDERAL;15000;MINISTERIO DA EDUCACAO
26421;INSTITUTO FEDERAL DE RONDONIA;IFRO;3;AUTARQUIA FEDERAL;15000;MINISTERIO DA EDUCACAO
26422;INSTITUTO FEDERAL CATARINENSE;IFCATARINA;3;AUTARQUIA FEDERAL;15000;MINISTERIO DA EDUCACAO
26423;INSTITUTO FEDERAL DE SERGIPE;IFSE;3;AUTARQUIA FEDERAL;15000;MINISTERIO DA EDUCACAO
26424;INSTITUTO FEDERAL DO TOCANTINS;IFTO;3;AUTARQUIA FEDERAL;15000;MINISTERIO DA EDUCACAO
26426;INSTITUTO FEDERAL DO AMAPA;IFAP;3;AUTARQUIA FEDERAL;15000;MINISTERIO DA EDUCACAO
26427;INSTITUTO FEDERAL DA BAHIA;IFBA;3;AUTARQUIA FEDERAL;15000;MINISTERIO DA EDUCACAO
26428;INSTITUTO FEDERAL DE BRASILIA;IFBRASILIA;3;AUTARQUIA FEDERAL;15000;MINISTERIO DA EDUCACAO
26429;INSTITUTO FEDERAL DE GOIAS;IFG;3;AUTARQUIA FEDERAL;15000;MINISTERIO DA EDUCACAO
26430;INSTITUTO FEDERAL DO SERTAO PERNAMBUCANO;IFSERTPE;3;AUTARQUIA FEDERAL;15000;MINISTERIO DA EDUCACAO
26431;INSTITUTO FEDERAL DO PIAUI;IFPI;3;AUTARQUIA FEDERAL;15000;MINISTERIO DA EDUCACAO
26432;INSTITUTO FEDERAL DO PARANA;IFPR;3;AUTARQUIA FEDERAL;15000;MINISTERIO DA EDUCACAO
26433;INSTITUTO FEDERAL DO RIO DE JANEIRO;IFRJ;3;AUTARQUIA FEDERAL;15000;MINISTERIO DA EDUCACAO
26434;INSTITUTO FEDERAL FLUMINENSE;IFFLU;3;AUTARQUIA FEDERAL;15000;MINISTERIO DA EDUCACAO
26435;INSTITUTO FEDERAL DO RIO GRANDE DO NORTE;IFRN;3;AUTARQUIA FEDERAL;15000;MINISTERIO DA EDUCACAO
26436;INSTITUTO FEDERAL SUL RIO-GRANDENSE;IFSRIOGRAN;3;AUTARQUIA FEDERAL;15000;MINISTERIO DA EDUCACAO
26437;INSTITUTO FEDERAL DE RORAIMA;IFRR;3;AUTARQUIA FEDERAL;15000;MINISTERIO DA EDUCACAO
26438;INSTITUTO FEDERAL DE SANTA CATARINA;IFSC;3;AUTARQUIA FEDERAL;15000;MINISTERIO DA EDUCACAO
26439;INSTITUTO FEDERAL DE SAO PAULO;IFSP;3;AUTARQUIA FEDERAL;15000;MINISTERIO DA EDUCACAO
